Comment,Designator,Footprint,LCSC-part#
10uF,C1,C0603,C19702
4.7uF,C2,C0603,C19666
100nF,"C3, C8",C0603,C14663
1uF,C4,C0603,C15849
10nF,C5,C0603,C57112
20pF,"C6, C7",C0603,C1648
,"D1, D2",SOD-123,C8598
,D3,DO-214AC,C2480
3.3V,IC1,SOT89,C14289
,"LED1, LED2",CHIPLED_0603,C84256
100R,"R1, R2",R0603,C22775
1k,R3,R0603,C21190
10k,R4,R0603,C25804
MOMENTARY-SWITCH-SPST-SMD-5.2-REDUNDANT,S1,TACTILE_SWITCH_SMD_5.2MM,C318884
STM32F030F4P6,U1,SOP65P640X120-20N,C89040
8MHz,Y1,CRYSTAL-SMD-5X3.2-2PAD,C115962
